Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
$,Thousands,,Economic value retained,, ,"284,153","206,457"
,,Abstract Bold,Canada,, ,,
$,Thousands,,Economic value generated,, ,"3,896,331","5,261,363"
$,Thousands,,Revenues,, ,"3,896,331","5,261,363"
$,Thousands,,Economic value distributed,, ,"5,116,745","3,630,629"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,"1,464,657","1,496,001"
$,Thousands,,Capex,, ,"1,030,156","1,024,109"
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,"853,686","846,793"
$,Thousands,,Capex,, ,"93,638","89,358"
$,Thousands,,Payments to providers of capital,, ,,641
$,Thousands,,Income and resource taxes (Payments to government ),, ,"119,186","162,502"
$,Thousands,,Other operating costs ,, ,0,0
$,Thousands,,Economic value retained,, ,"280,842","1,640,817"
,,Abstract Bold,Finland,, ,,
$,Thousands,,Economic value generated,, ,"407,669","448,719"
$,Thousands,,Revenues,, ,"407,669","448,719"
$,Thousands,,Economic value distributed,, ,"360,593","310,537"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,"172,869","164,813"
$,Thousands,,Capex,, ,"101,321","73,538"
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,"50,188","52,108"
$,Thousands,,Capex,, ,241,228
$,Thousands,,Payments to providers of capital,, ,,0
$,Thousands,,Income and resource taxes (Payments to government ),, ,"35,507","19,728"
$,Thousands,,Other operating costs ,, ,0,0
$,Thousands,,Economic value retained,, ,"47,075","138,182"
,,Abstract Bold,Mexico,, ,,
$,Thousands,,Economic value generated,, ,"339,525","364,359"
$,Thousands,,Revenues,, ,"339,525","364,359"
$,Thousands,,Economic value distributed,, ,"351,323","441,434"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,"142,218","163,922"
$,Thousands,,Capex,, ,"66,558","158,538"
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,"118,696","106,728"
$,Thousands,,Capex,, ,"1,783", (0)
$,Thousands,,Payments to providers of capital,, ,,0
$,Thousands,,Income and resource taxes (Payments to government ),, ,"21,146","11,420"
$,Thousands,,Other operating costs ,, ,0,0
$,Thousands,,Economic value retained,, ," (11,798)"," (441,434)"
,,Abstract Bold,Netherlands,, ,,
$,Thousands,,Economic value generated,, ,0,0
$,Thousands,,Revenues,, ,0,0
$,Thousands,,Economic value distributed,, ,87,117
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,87,117
$,Thousands,,Capex,, ,0,0
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,0,0
$,Thousands,,Capex,, ,0,0
$,Thousands,,Income and resource taxes (Payments to government ),, ,0,0
$,Thousands,,Other operating costs ,, ,0,0
,Thousands,,Economic value retained,, , (87),117
,,Abstract Bold,Sweden,, ,,
$,Thousands,,Economic value generated,, ,0,0
$,Thousands,,Revenues,, ,0,0
$,Thousands,,Economic value distributed,, ,"1,941","2,085"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,"1,397","1,234"
$,Thousands,,Capex,, ,0,0
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,545,512
$,Thousands,,Capex,, ,0,0
$,Thousands,,Payments to providers of capital,, ,,0
$,Thousands,,Income and resource taxes (Payments to government ),, ,0,338
$,Thousands,,Other operating costs ,, ,0,0
$,Thousands,,Economic value retained,, ," (1,941)"," (2,085)"
,,Abstract Bold,Unites States,, ,,
$,Thousands,,Economic value generated,, ,0,0
$,Thousands,,Revenues,, ,0,0
$,Thousands,,Economic value distributed,, ,"6,963","4,995"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,"4,569","2,992"
$,Thousands,,Capex,, ,0,0
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,"2,394","2,003"
$,Thousands,,Capex,, ,0,0
$,Thousands,,Payments to providers of capital,, ,,0
$,Thousands,,Income and resource taxes (Payments to government ),, ,0,0
$,Thousands,,Other operating costs ,, ,0,0
$,Thousands,,Economic value retained,, ," (6,963)","4,995"
,,Abstract Bold,Barbados,, ,,
$,Thousands,,Economic value generated,, ,0,0
$,Thousands,,Revenues,, ,0,0
$,Thousands,,Economic value distributed,, ," (2,348)","3,031"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ," (2,348)","3,031"
$,Thousands,,Capex,, ,0,0
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,0,0
$,Thousands,,Capex,, ,0,0
$,Thousands,,Payments to providers of capital,, ,,0
$,Thousands,,Income and resource taxes (Payments to government ),, ,0,0
$,Thousands,,Other operating costs ,, ,0,0
,Thousands,,Economic value retained,, ," (2,348)","3,031"
,,Abstract Bold,Agnico Eagle,, ,,
$,Thousands,,Economic value generated,, ,"5,330,745","6,626,909"
$,Thousands,,Revenues,, ,"5,330,745","6,626,909"
$,Thousands,,Economic value distributed,, ,"5,509,492","4,738,839"
,,Abstract Bold,Payment to Suppliers,, ,,
$,Thousands,,Opex,, ,"1,917,316","1,945,131"
$,Thousands,,Capex,, ,"1,276,751","1,322,776"
,,Abstract Bold,Employee Wages and Benefits ,, ,,
$,Thousands,,Opex,, ,"1,070,783","1,053,596"
$,Thousands,,Capex,, ,"120,119","110,469"
$,Thousands,,Payments to providers of capital,, ,"815,489",835
$,Thousands,,Income and resource taxes (Payments to government ),, ,"292,946","290,525"
$,Thousands,,Community investments ,, ,"16,089","15,507"
$,Thousands,,Other operating costs ,, ,0,0
$,Thousands,,Economic value retained,, ,"591,282","1,550,080"
,,,,, ,,
,,Abstract Bold Color,Governance,, ,,
,,Abstract Bold,Board,, ,,
,Actual,,Total board of directors,, ,12,11
,Actual,,Independent from management,, ,2,2
,Actual,,Non-executive directors women (%),, ,40%,40%
,Actual,,Non-executive directors women ,, ,4,
,Actual,,Aboriginal directors of the non-executive directors (%),, ,10%,
,Actual,, Aboriginal directors of the non-executive directors,, ,1,
,Actual,,Women on the entire board of directors (%),, ,33%,36%
,Actual,,Women on the entire board of directors,, ,4,4
,Actual,,Aboriginal directors on the entire Board of Directors (%),, ,8%,9%
,Actual,,Aboriginal directors on the entire Board of Directors,, ,1,
,Actual,,Visible minorities on the entire board of directors (%),, ,8%,
,Actual,,Visible minorities on the entire Board of Directors,, ,1,
,Actual,,Racial/ethnically diverse members of the Board,, ,,1
,Actual,,Racial/ethnically diverse members of the Board (%),, ,,9%
,,,,, ,,
,,Abstract Bold,Digital Privacy and Cybersecurity,, ,,
,Actual,,Information security breaches,, ,0,0
,,,,, ,,
